#Parameters = {h=2; k=4.5; ld=25.9075; w3=2.835; w2=0.083; w1=3.28; w0=5.05; l3=8.25; l2=8.59; l1=8.09; l0=15.9; Mesh Pass=4}
#"Frequency / GHz"	"S2,1 (8) [Magnitude / dB]"
#---------------------------------------------
2.2047998905182	-1.5592369771675
2.2063999176025	-1.5589915302650
2.2079999446869	-1.5587241184849
2.2095999717712	-1.5584308263141
2.2111999988556	-1.5581136031143
2.2128000259399	-1.5577725092548
2.2144000530243	-1.5574074496241
2.2160000801086	-1.5570169096330
2.2176001071930	-1.5566029156226
2.2191998958588	-1.5561633588173
2.2207999229431	-1.5556987116555
2.2223999500275	-1.5552084017201
2.2239999771118	-1.5546946481242
2.2256000041962	-1.5541538564393
2.2272000312805	-1.5535881197298
2.2288000583649	-1.5529982531851
2.2304000854492	-1.5523806123016
2.2320001125336	-1.5517381696529
2.2335999011993	-1.5510694372824
2.2351999282837	-1.5503740055016
2.2367999553680	-1.5496537129336
2.2383999824524	-1.5489066345296
2.2400000095367	-1.5481329231065
2.2416000366211	-1.5473319473717
2.2432000637054	-1.5465054060743
2.2448000907898	-1.5456528141687
2.2464001178741	-1.5447723695566
2.2479999065399	-1.5438653121881
2.2495999336243	-1.5429312753521
2.2511999607086	-1.5419702823198
2.2527999877930	-1.5409821230383
2.2544000148773	-1.5399665964270
2.2560000419617	-1.5389236453364
2.2576000690460	-1.5378533174472
2.2592000961304	-1.5367545188027
2.2607998847961	-1.5356299260236
2.2623999118805	-1.5344771041406
2.2639999389648	-1.5332967708192
2.2655999660492	-1.5320882055830
2.2671999931335	-1.5308527833471
2.2688000202179	-1.5295878710249
2.2704000473022	-1.5282962657991
2.2720000743866	-1.5269756125156
2.2736001014709	-1.5256276953532
2.2751998901367	-1.5242523814605
2.2767999172211	-1.5228478366786
2.2783999443054	-1.5214159731541
2.2799999713898	-1.5199552989279
2.2815999984741	-1.5184659979884
2.2832000255585	-1.5169489663535
2.2848000526428	-1.5154038858407
2.2864000797272	-1.5138300220672
2.2880001068115	-1.5122285333019
2.2895998954773	-1.5105970689518
2.2911999225616	-1.5089389578888
2.2927999496460	-1.5072521351005
2.2943999767303	-1.5055347920935
2.2960000038147	-1.5037910106977
2.2976000308990	-1.5020191598852
2.2992000579834	-1.5002177610557
2.3008000850677	-1.4983878389612
2.3024001121521	-1.4965298186516
2.3039999008179	-1.4946433648406
2.3055999279022	-1.4927281532807
2.3071999549866	-1.4907848393048
2.3087999820709	-1.4888126588656
2.3104000091553	-1.4868130791149
2.3120000362396	-1.4847836952523
2.3136000633240	-1.4827267611089
2.3152000904083	-1.4806402249304
2.3168001174927	-1.4785266213057
2.3183999061584	-1.4763843625794
2.3199999332428	-1.4742144562375
2.3215999603271	-1.4720154738352
2.3231999874115	-1.4697883382591
2.3248000144958	-1.4675324692840
2.3264000415802	-1.4652496588859
2.3280000686646	-1.4629377075134
2.3296000957489	-1.4605979298430
2.3311998844147	-1.4582308005425
2.3327999114990	-1.4558345915118
2.3343999385834	-1.4534114342541
2.3359999656677	-1.4509597682214
2.3375999927521	-1.4484814375182
2.3392000198364	-1.4459740858875
2.3408000469208	-1.4434403274608
2.3424000740051	-1.4408769516827
2.3440001010895	-1.4382882428530
2.3455998897552	-1.4356701580878
2.3471999168396	-1.4330265515805
2.3487999439240	-1.4303532965337
2.3503999710083	-1.4276539245938
2.3519999980927	-1.4249280799649
2.3536000251770	-1.4221749985160
2.3552000522614	-1.4193939116729
2.3568000793457	-1.4165870393953
2.3584001064301	-1.4137531666791
2.3599998950958	-1.4108923621648
2.3615999221802	-1.4080042514685
2.3631999492645	-1.4050906103249
2.3647999763489	-1.4021502114884
2.3664000034332	-1.3991835405631
2.3680000305176	-1.3961910341880
2.3696000576019	-1.3931714812632
2.3712000846863	-1.3901279030922
2.3728001117706	-1.3870568763216
2.3743999004364	-1.3839597456169
2.3759999275208	-1.3808372968957
2.3775999546051	-1.3776896743011
2.3791999816895	-1.3745164303916
2.3808000087738	-1.3713174550358
2.3824000358582	-1.3680945741273
2.3840000629425	-1.3648460510717
2.3856000900269	-1.3615735598455
2.3872001171112	-1.3582744270267
2.3887999057770	-1.3549518709842
2.3903999328613	-1.3516047932295
2.3919999599457	-1.3482332622125
2.3935999870300	-1.3448372094420
2.3952000141144	-1.3414182564267
2.3968000411987	-1.3379739236145
2.3984000682831	-1.3345071462604
2.4000000953674	-1.3310156633561
2.4015998840332	-1.3275015354226
2.4031999111176	-1.3239638937109
2.4047999382019	-1.3204016743983
2.4063999652863	-1.3168186392348
2.4079999923706	-1.3132112436863
2.4096000194550	-1.3095819357692
2.4112000465393	-1.3059298812068
2.4128000736237	-1.3022561067925
2.4144001007080	-1.2985599817388
2.4159998893738	-1.2948419454873
2.4175999164581	-1.2911012237513
2.4191999435425	-1.2873392098045
2.4207999706268	-1.2835555029419
2.4223999977112	-1.2797504896346
2.4240000247955	-1.2759252134273
2.4256000518799	-1.2720789571225
2.4272000789642	-1.2682115449666
2.4288001060486	-1.2643217456894
2.4303998947144	-1.2604142550056
2.4319999217987	-1.2564854034370
2.4335999488831	-1.2525362606963
2.4351999759674	-1.2485682316012
2.4368000030518	-1.2445787551446
2.4384000301361	-1.2405715544183
2.4400000572205	-1.2365443909337
2.4416000843048	-1.2324978016561
2.4432001113892	-1.2284330460439
2.4447999000549	-1.2243493549884
2.4463999271393	-1.2202475852289
2.4479999542236	-1.2161263265421
2.4495999813080	-1.2119885967271
2.4512000083923	-1.2078314751973
2.4528000354767	-1.2036567942488
