#Parameters = {w0=5.05; w1=3.28; w2=0.083; w3=2.835; l0=15.9; l1=8.09; l2=8.59; l3=8.13; ld=25.9075; h=2; k=4.5}
#"Frequency / GHz"	"S1,2 [Magnitude / dB]"
#-----------------------------------------
2.1336000000000	-2.0256687875036
2.1340000000000	-2.0254143065873
2.1344000000000	-2.0251590365759
2.1348000000000	-2.0249031346381
2.1352000000000	-2.0246465690111
2.1356000000000	-2.0243893393895
2.1360000000000	-2.0241314454684
2.1364000000000	-2.0238727606062
2.1368000000000	-2.0236134426288
2.1372000000000	-2.0233534594621
2.1376000000000	-2.0230928108036
2.1380000000000	-2.0228314963510
2.1384000000000	-2.0225693891327
2.1388000000000	-2.0223066476192
2.1392000000000	-2.0220432394306
2.1396000000000	-2.0217791642669
2.1400000000000	-2.0215144218285
2.1404000000000	-2.0212488848218
2.1408000000000	-2.0209827123489
2.1412000000000	-2.0207158717293
2.1416000000000	-2.0204483626657
2.1420000000000	-2.0201801848612
2.1424000000000	-2.0199112107076
2.1428000000000	-2.0196415999261
2.1432000000000	-2.0193713195407
2.1436000000000	-2.0191003692567
2.1440000000000	-2.0188287487802
2.1444000000000	-2.0185563301962
2.1448000000000	-2.0182832738319
2.1452000000000	-2.0180095464210
2.1456000000000	-2.0177351476718
2.1460000000000	-2.0174600772929
2.1464000000000	-2.0171842070706
2.1468000000000	-2.0169076979252
2.1472000000000	-2.0166305163055
2.1476000000000	-2.0163526619225
2.1480000000000	-2.0160741344876
2.1484000000000	-2.0157948054959
2.1488000000000	-2.0155148364482
2.1492000000000	-2.0152341935133
2.1496000000000	-2.0149528764051
2.1500000000000	-2.0146708848380
2.1504000000000	-2.0143880900236
2.1508000000000	-2.0141046540301
2.1512000000000	-2.0138205427518
2.1516000000000	-2.0135357559055
2.1520000000000	-2.0132502932085
2.1524000000000	-2.0129640255967
2.1528000000000	-2.0126771156929
2.1532000000000	-2.0123895291222
2.1536000000000	-2.0121012656041
2.1540000000000	-2.0118123248589
2.1544000000000	-2.0115225775548
2.1548000000000	-2.0112321868561
2.1552000000000	-2.0109411181237
2.1556000000000	-2.0106493710804
2.1560000000000	-2.0103569454492
2.1564000000000	-2.0100637116385
2.1568000000000	-2.0097698333411
2.1572000000000	-2.0094752756592
2.1576000000000	-2.0091800383184
2.1580000000000	-2.0088841210450
2.1584000000000	-2.0085873939951
2.1588000000000	-2.0082900213770
2.1592000000000	-2.0079919680395
2.1596000000000	-2.0076932337113
2.1600000000000	-2.0073938181218
2.1604000000000	-2.0070935911827
2.1608000000000	-2.0067927176048
2.1612000000000	-2.0064911619889
2.1616000000000	-2.0061889240667
2.1620000000000	-2.0058860035705
2.1624000000000	-2.0055822701759
2.1628000000000	-2.0052778890830
2.1632000000000	-2.0049728246498
2.1636000000000	-2.0046670766111
2.1640000000000	-2.0043606447023
2.1644000000000	-2.0040533983706
2.1648000000000	-2.0037455032924
2.1652000000000	-2.0034369235880
2.1656000000000	-2.0031276589956
2.1660000000000	-2.0028177092538
2.1664000000000	-2.0025069435890
2.1668000000000	-2.0021955281409
2.1672000000000	-2.0018834267977
2.1676000000000	-2.0015706393007
2.1680000000000	-2.0012571653918
2.1684000000000	-2.0009428740847
2.1688000000000	-2.0006279319691
2.1692000000000	-2.0003123027065
2.1696000000000	-1.9999959860414
2.1700000000000	-1.9996789817188
2.1704000000000	-1.9993611585478
2.1708000000000	-1.9990426835552
2.1712000000000	-1.9987235201807
2.1716000000000	-1.9984036681721
2.1720000000000	-1.9980831272779
2.1724000000000	-1.9977617661104
2.1728000000000	-1.9974397521198
2.1732000000000	-1.9971170485301
